iter	Passed	Remaining
418	2388	3312
419	2390	3300
420	2391	3289
421	2395	3280
422	2396	3269
423	2398	3258
424	2399	3246
425	2401	3235
426	2402	3224
427	2404	3213
428	2407	3204
429	2409	3194
430	2411	3183
431	2412	3172
432	2414	3161
433	2416	3151
434	2417	3140
435	2419	3129
436	2420	3118
437	2422	3108
438	2424	3098
439	2426	3087
440	2427	3076
441	2428	3065
442	2429	3054
443	2430	3044
444	2432	3033
445	2434	3023
446	2435	3013
447	2439	3005
448	2440	2995
449	2442	2985
450	2444	2975
451	2445	2965
452	2447	2955
453	2449	2945
454	2455	2941
455	2457	2931
456	2459	2922
457	2461	2913
458	2464	2904
459	2469	2898
460	2472	2890
461	2474	2881
462	2476	2872
463	2478	2863
464	2484	2858
465	2487	2850
466	2490	2842
467	2492	2833
468	2493	2823
469	2496	2815
470	2498	2806
471	2500	2797
472	2502	2788
473	2504	2778
474	2505	2769
475	2507	2760
476	2509	2750
477	2511	2742
478	2520	2741
479	2522	2732
480	2523	2723
481	2525	2714
482	2527	2705
483	2531	2698
484	2533	2690
485	2535	2681
486	2536	2672
487	2538	2663
488	2539	2654
489	2542	2646
490	2545	2639
491	2548	2630
492	2550	2622
493	2552	2614
494	2554	2605
495	2559	2600
496	2561	2592
497	2564	2584
498	2565	2576
499	2567	2567
500	2569	2558
501	2581	2560
502	2583	2552
503	2584	2543
504	2587	2536
505	2589	2528
506	2591	2519
507	2593	2511
508	2594	2502
509	2596	2494
510	2597	2485
511	2599	2477
512	2604	2472
513	2606	2464
514	2607	2455
515	2608	2447
516	2611	2439
517	2612	2431
518	2615	2424
519	2618	2417
520	2620	2409
521	2622	2401
522	2623	2393
523	2625	2384
524	2626	2376
525	2628	2368
526	2634	2364
527	2635	2356
528	2637	2348
529	2638	2340
530	2640	2331
531	2641	2324
532	2643	2316
533	2645	2308
534	2647	2301
535	2649	2293
536	2650	2285
537	2652	2277
538	2654	2270
539	2656	2263
540	2658	2255
541	2663	2250
542	2664	2242
543	2666	2235
544	2668	2227
545	2669	2219
546	2671	2212
547	2672	2204
548	2676	2198
549	2677	2190
550	2679	2183
551	2680	2175
552	2682	2167
553	2683	2160
554	2685	2153
555	2686	2145
556	2689	2138
557	2693	2133
558	2694	2126
559	2696	2118
560	2697	2110
561	2699	2103
562	2701	2096
563	2704	2091
564	2706	2083
565	2708	2076
566	2709	2069
567	2711	2062
568	2712	2054
569	2714	2047
570	2716	2040
571	2724	2038
572	2726	2031
573	2729	2025
574	2731	2019
575	2736	2014
576	2737	2007
577	2739	1999
578	2741	1993
579	2743	1986
580	2745	1979
581	2746	1972
582	2752	1968
583	2754	1961
584	2756	1955
585	2758	1948
586	2759	1941
587	2760	1934
588	2762	1927
589	2764	1921
590	2766	1914
591	2768	1907
592	2770	1901
593	2771	1894
594	2773	1887
595	2774	1880
596	2776	1874
597	2779	1868
598	2781	1862
599	2783	1855
600	2784	1848
601	2786	1842
602	2788	1835
603	2789	1829
604	2791	1822
605	2794	1816
606	2795	1810
607	2797	1803
608	2799	1797
609	2800	1790
610	2802	1783
611	2803	1777
612	2805	1770
613	2809	1766
614	2811	1760
615	2813	1753
616	2815	1747
617	2816	1741
618	2818	1734
619	2820	1728
620	2822	1722
621	2825	1716
622	2826	1710
623	2828	1704
624	2830	1698
625	2833	1693
626	2835	1686
627	2840	1682
628	2841	1676
629	2843	1669
630	2844	1663
631	2846	1657
632	2847	1651
633	2849	1645
634	2851	1638
635	2853	1633
636	2856	1627
637	2857	1621
638	2859	1615
639	2861	1609
640	2862	1603
641	2865	1597
642	2868	1592
643	2870	1586
644	2871	1580
645	2874	1575
646	2876	1569
647	2880	1564
648	2883	1559
649	2885	1553
650	2887	1547
651	2889	1541
652	2893	1537
653	2897	1533
654	2899	1527
655	2901	1521
656	2903	1515
657	2907	1511
658	2911	1506
659	2914	1501
660	2915	1495
661	2917	1489
662	2918	1483
663	2925	1480
664	2926	1474
665	2928	1468
666	2929	1462
667	2930	1456
668	2932	1450
669	2935	1445
670	2938	1440
671	2939	1434
672	2941	1429
673	2942	1423
674	2944	1417
675	2945	1411
676	2948	1406
677	2954	1403
678	2955	1397
679	2957	1391
680	2958	1386
681	2960	1380
682	2962	1374
683	2966	1370
684	2968	1365
685	2969	1359
686	2971	1353
687	2973	1348
688	2976	1343
689	2977	1337
690	2987	1335
691	2989	1330
692	2991	1325
